客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,76140,47,36,45,0,1,1,1,0,1,0
2,1,249660,73,57,60,1,0,1,1,1,1,1
2,2,249000,83,100,30,1,1,0,1,0,0,0
3,1,76140,47,36,45,0,1,1,0,0,0,0
4,1,71896,86,38,22,0,1,1,0,0,0,0
4,2,71896,86,38,22,1,0,1,0,0,1,0
5,1,249660,73,57,60,1,1,0,0,1,1,0
6,1,156978,57,51,54,0,0,1,1,1,1,0
7,1,249660,73,57,60,0,0,0,0,1,1,0
7,2,74844,81,33,28,1,0,1,1,0,0,0
8,1,549976,98,122,46,1,0,1,0,1,1,1
9,1,296946,81,78,47,1,0,1,1,0,1,0
10,1,18975,33,25,23,1,1,0,0,1,0,0
10,2,122400,50,51,48,1,0,1,0,1,0,1
11,1,206752,91,71,32,1,1,0,0,1,0,0
11,2,249660,73,57,60,1,0,0,0,1,0,0
11,3,206752,91,71,32,0,0,1,1,0,0,0
12,1,249660,73,57,60,1,0,1,0,1,1,0
12,2,76140,47,36,45,0,0,1,1,1,1,0
12,3,296946,81,78,47,0,1,0,1,0,0,0
