客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,1,1,0
2,0,1,0,0
3,1,0,0,0
4,0,0,1,1
5,1,0,0,0
6,0,0,0,1
7,0,0,1,1
8,0,1,1,0
9,0,1,1,0
10,0,1,0,0
11,0,0,1,0
12,0,0,1,1
13,1,0,0,0
14,1,1,0,0
15,0,1,0,0
16,0,0,1,1
17,0,0,1,0
18,0,0,0,1
19,0,0,1,0
20,0,0,0,1
21,0,1,0,0
22,0,0,0,1
23,0,1,0,0
24,0,1,0,0
25,1,0,0,0
26,1,1,0,0
27,1,1,0,0
28,0,0,1,1
29,0,0,0,1
30,1,0,0,0
31,0,0,1,0
32,0,0,1,1
33,1,0,0,0
34,0,0,0,1
35,0,0,0,1
36,0,0,1,0
37,0,1,0,0
38,0,1,1,0
39,1,0,0,0
40,1,1,0,0
41,0,0,1,0
42,0,0,0,1
43,0,0,1,1
44,0,1,0,0
45,0,0,1,0
46,0,0,1,0
47,1,0,0,0
48,0,0,1,1
